,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,kalya,12.9793,77.1806,73.4,78,20,1.14,IN,1619382439
301,saint helens,53.45,-2.7333,53.6,58,7,11.5,GB,1619382439
302,port angeles,48.1181,-123.4307,52.0,93,90,3.98,US,1619382367
303,cabedelo,-6.9811,-34.8339,80.6,78,0,12.66,BR,1619382439
304,taitung,22.7583,121.1444,70.77,83,100,7.78,TW,1619382439
305,abay,49.6311,72.8539,35.6,55,0,5.7,KZ,1619382248
306,santa maria,-29.6842,-53.8069,69.8,60,75,3.44,BR,1619382440
307,banda aceh,5.5577,95.3222,79.66,77,89,7.4,ID,1619382440
308,fairbanks,64.8378,-147.7164,55.4,32,1,0.69,US,1619382317
309,aginskoye,51.1,114.53,46.2,29,100,14.52,RU,1619382440
310,khandbari,27.3747,87.2039,68.23,27,9,5.77,NP,1619382304
311,esperance,-33.8667,121.9,59.0,63,0,17.27,AU,1619382440
312,carutapera,-1.195,-46.02,80.8,83,38,6.24,BR,1619382441
313,axim,4.8699,-2.2405,80.64,81,100,5.64,GH,1619382441
314,ginosa,40.5801,16.7561,53.01,71,0,2.3,IT,1619382441
315,umm lajj,25.0213,37.2685,82.62,47,0,2.21,SA,1619382441
316,clyde river,70.4692,-68.5914,21.2,93,90,28.77,CA,1619382441
317,pran buri,12.3847,99.9098,82.99,67,75,4.59,TH,1619382442
318,palana,59.1167,159.9667,23.81,93,100,3.02,RU,1619382442
319,leningradskiy,69.3833,178.4167,21.16,86,100,2.35,RU,1619382442
320,muros,42.7762,-9.0603,60.01,87,86,2.59,ES,1619382442
321,nome,64.5011,-165.4064,44.6,65,40,4.94,US,1619382443
322,humaita,-7.5061,-63.0208,90.95,54,66,1.95,BR,1619382443
323,wattegama,6.7989,81.4808,74.93,90,92,2.24,LK,1619382443
324,brokopondo,4.75,-55.1667,80.24,86,65,8.66,SR,1619382443
325,maragogi,-9.0122,-35.2225,79.14,79,6,7.25,BR,1619382443
326,saint marys,30.7305,-81.5465,80.01,47,1,9.22,US,1619382444
327,college,64.8569,-147.8028,55.4,35,1,0.85,US,1619382444
328,ipixuna,-1.7625,-48.8043,84.2,79,40,8.05,BR,1619382444
329,bilma,18.6853,12.9164,93.94,9,1,7.85,NE,1619382444
330,kisangani,0.5167,25.2,70.14,97,93,2.01,CD,1619382445
331,bengkulu,-3.8004,102.2655,75.76,89,57,4.59,ID,1619382445
332,cockburn town,21.4612,-71.1419,82.4,65,40,13.8,TC,1619382445
333,kungurtug,50.5994,97.5228,22.32,89,100,4.45,RU,1619382445
334,belousovka,50.1339,82.5239,32.0,55,87,2.24,KZ,1619382445
335,hun,29.1268,15.9477,68.54,42,0,9.04,LY,1619382446
336,te anau,-45.4167,167.7167,43.81,93,100,8.32,NZ,1619382446
337,burnie,-41.0667,145.9167,52.0,80,87,7.0,AU,1619382446
338,vostok,46.4856,135.8833,22.48,61,9,4.81,RU,1619382446
339,kuito,-12.3833,16.9333,62.26,61,82,1.34,AO,1619382447
340,coihaique,-45.5752,-72.0662,57.2,58,40,3.44,CL,1619382447
